2398 MHz, 3003 MHz, 41, 10.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 40.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.32 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.27 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 13.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.31 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.24 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.16 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.12 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.16 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.14 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.13 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.12 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.13 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.10 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.14 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.14 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.28 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.16 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.11 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.12 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.08 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.10 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.04 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.05 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.09 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.03 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.05 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.01 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.04 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 13.04 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 22.29 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.10 W, P0, [N/A]
2392 MHz, 3003 MHz, 52, 49.27 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 56.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 47.50 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 52.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 54, 56.70 W, P0, [N/A]
2405 MHz, 3003 MHz, 54, 58.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 55, 36.86 W, P0, [N/A]
2405 MHz, 3003 MHz, 55, 56.67 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 58.24 W, P0, [N/A]
2398 MHz, 3003 MHz, 55, 38.83 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 56.71 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 58.15 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 44.33 W, P0, [N/A]
2405 MHz, 3003 MHz, 55, 56.25 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 58.43 W, P0, [N/A]
2405 MHz, 3003 MHz, 53, 44.62 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 56.64 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 58.51 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 50.47 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 55.07 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 58.79 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 45.15 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 56.13 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 58.87 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 56.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 58, 46.99 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 58.37 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 53.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 50.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 58.48 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 59.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 59, 44.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 57.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 59.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 45.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 60, 58.43 W, P0, [N/A]
2392 MHz, 3003 MHz, 62, 59.66 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 48.16 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 57.89 W, P0, [N/A]
2392 MHz, 3003 MHz, 62, 60.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 47.68 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 58.46 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 59.86 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 48.38 W, P0, [N/A]
2392 MHz, 3003 MHz, 62, 57.74 W, P0, [N/A]
2392 MHz, 3003 MHz, 61, 60.31 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 48.35 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 58.69 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 59.93 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 49.94 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 57.75 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 60.48 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 43.70 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 37.89 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 58.65 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 59.85 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 48.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 37.09 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 58.56 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 60.38 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 34.32 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 44.87 W, P0, [N/A]
2385 MHz, 3003 MHz, 64, 59.62 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 60.90 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 40.97 W, P0, [N/A]
2385 MHz, 3003 MHz, 64, 42.51 W, P0, [N/A]
2385 MHz, 3003 MHz, 64, 56.29 W, P0, [N/A]
2385 MHz, 3003 MHz, 64, 60.87 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 31.83 W, P0, [N/A]
2385 MHz, 3003 MHz, 66, 48.70 W, P0, [N/A]
2385 MHz, 3003 MHz, 66, 59.88 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 60.67 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 36.33 W, P0, [N/A]
2385 MHz, 3003 MHz, 65, 47.44 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 60.28 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 58.17 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 28.76 W, P0, [N/A]
2385 MHz, 3003 MHz, 65, 52.85 W, P0, [N/A]
2385 MHz, 3003 MHz, 66, 60.50 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 61.45 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 33.12 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 50.28 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 60.41 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 54.96 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 28.98 W, P0, [N/A]
2385 MHz, 3003 MHz, 65, 53.59 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 61.11 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 60.80 W, P0, [N/A]
2411 MHz, 3003 MHz, 62, 32.43 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 50.72 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 60.53 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 55.31 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 30.67 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 58.75 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 61.66 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 58.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 29.50 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 53.84 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 61.55 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 51.33 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 30.67 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 59.21 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 61.65 W, P0, [N/A]
2385 MHz, 3003 MHz, 67, 58.74 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 29.76 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 58.65 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 61.98 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 45.05 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 42.97 W, P0, [N/A]
2385 MHz, 3003 MHz, 69, 60.75 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 61.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 44.53 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 22.58 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 13.35 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 14.14 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 13.98 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 13.11 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 13.03 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 12.96 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 12.87 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 12.90 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 12.83 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 12.78 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 12.74 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 12.73 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.69 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.63 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.64 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.59 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.56 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.53 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.50 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.45 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.43 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.39 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.36 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.32 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 12.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.14 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.11 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.10 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.09 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 12.00 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.84 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.69 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 11.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 11.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.51 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.51 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.51 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.52 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.50 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.50 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.49 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.41 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.41 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.39 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.36 W, P0, [N/A]
2398 MHz, 3003 MHz, 47, 11.31 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.33 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.32 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.31 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.36 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.36 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.33 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.34 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.34 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.33 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.32 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.28 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.29 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.24 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.27 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.30 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.27 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.27 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.29 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.26 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.27 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.29 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.24 W, P0, [N/A]
2398 MHz, 3003 MHz, 46, 11.23 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.23 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.23 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.23 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.23 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.23 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.26 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.24 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.24 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.23 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.21 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.24 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.26 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.24 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.21 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.24 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.16 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.16 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.12 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.14 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.16 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.13 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.16 W, P0, [N/A]
2398 MHz, 3003 MHz, 45, 11.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.14 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.16 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 44, 11.18 W, P0, [N/A]
