2398 MHz, 3003 MHz, 49, 11.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 13.26 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.98 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.35 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 13.39 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 20.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 20.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 50, 20.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 14.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.10 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 13.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 12.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 13.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 49, 13.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.66 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 12.00 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 13.20 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 48, 11.58 W, P0, [N/A]
2398 MHz, 3003 MHz, 59, 52.87 W, P0, [N/A]
2385 MHz, 3003 MHz, 63, 91.26 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 94.68 W, P0, [N/A]
2366 MHz, 3003 MHz, 64, 92.98 W, P0, [N/A]
2385 MHz, 3003 MHz, 65, 91.15 W, P0, [N/A]
2359 MHz, 3003 MHz, 64, 96.14 W, P0, [N/A]
2379 MHz, 3003 MHz, 66, 92.55 W, P0, [N/A]
2353 MHz, 3003 MHz, 66, 96.01 W, P0, [N/A]
2372 MHz, 3003 MHz, 68, 93.09 W, P0, [N/A]
2320 MHz, 3003 MHz, 68, 93.91 W, P0, [N/A]
2372 MHz, 3003 MHz, 69, 95.52 W, P0, [N/A]
2346 MHz, 3003 MHz, 69, 92.79 W, P0, [N/A]
2379 MHz, 3003 MHz, 70, 96.52 W, P0, [N/A]
2333 MHz, 3003 MHz, 70, 92.47 W, P0, [N/A]
2379 MHz, 3003 MHz, 70, 96.47 W, P0, [N/A]
2314 MHz, 3003 MHz, 71, 91.23 W, P0, [N/A]
2379 MHz, 3003 MHz, 71, 95.87 W, P0, [N/A]
2327 MHz, 3003 MHz, 71, 73.08 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 26.21 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 38.91 W, P0, [N/A]
2405 MHz, 3003 MHz, 61, 40.53 W, P0, [N/A]
2405 MHz, 3003 MHz, 61, 39.23 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 35.57 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 18.82 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 13.48 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 13.05 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 12.84 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 13.23 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.80 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.77 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.72 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.70 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 13.53 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.60 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.60 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 14.31 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 14.33 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 13.38 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 13.66 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 36.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 63.83 W, P0, [N/A]
2392 MHz, 3003 MHz, 60, 64.59 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 26.50 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.94 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.62 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.61 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.52 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.49 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.47 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.45 W, P0, [N/A]
2411 MHz, 3003 MHz, 53, 12.43 W, P0, [N/A]
2411 MHz, 3003 MHz, 52, 12.32 W, P0, [N/A]
2411 MHz, 3003 MHz, 52, 12.22 W, P0, [N/A]
2411 MHz, 3003 MHz, 52, 12.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.13 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 12.12 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 11.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 52, 11.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 11.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 51, 17.54 W, P0, [N/A]
2398 MHz, 3003 MHz, 53, 29.35 W, P0, [N/A]
2405 MHz, 3003 MHz, 57, 55.91 W, P0, [N/A]
2405 MHz, 3003 MHz, 56, 50.10 W, P0, [N/A]
2405 MHz, 3003 MHz, 58, 57.39 W, P0, [N/A]
2405 MHz, 3003 MHz, 60, 55.33 W, P0, [N/A]
2405 MHz, 3003 MHz, 63, 56.08 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 56.49 W, P0, [N/A]
2405 MHz, 3003 MHz, 63, 52.75 W, P0, [N/A]
2405 MHz, 3003 MHz, 59, 58.26 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 56.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 54.97 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 30.97 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 29.32 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 52.28 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 57.10 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 55.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 56.20 W, P0, [N/A]
2398 MHz, 3003 MHz, 61, 56.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 58.12 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 59.92 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 60.13 W, P0, [N/A]
2392 MHz, 3003 MHz, 62, 59.68 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 60.37 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 60.93 W, P0, [N/A]
2392 MHz, 3003 MHz, 60, 46.53 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 31.49 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 47.19 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 57.47 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 57.64 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 57.77 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 57.08 W, P0, [N/A]
2392 MHz, 3003 MHz, 63, 57.36 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 61.76 W, P0, [N/A]
2392 MHz, 3003 MHz, 65, 57.91 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 57.57 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 62.11 W, P0, [N/A]
2405 MHz, 3003 MHz, 62, 37.31 W, P0, [N/A]
2411 MHz, 3003 MHz, 62, 31.68 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 55.58 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 57.96 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 58.14 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 59.69 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 57.15 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 57.70 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 64.26 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 61.74 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 62.70 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 61.16 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 61.80 W, P0, [N/A]
2392 MHz, 3003 MHz, 64, 39.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 32.53 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 53.48 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 59.51 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 58.72 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 59.01 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 60.06 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 58.33 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 60.67 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 59.48 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 60.80 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 62.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 33.79 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 32.58 W, P0, [N/A]
2392 MHz, 3003 MHz, 66, 55.46 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 59.72 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 58.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 58.98 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 59.33 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 60.08 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 62.68 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 62.31 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 61.93 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 64.12 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 62.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 49.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 32.91 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 48.78 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 59.52 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 58.72 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 60.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 59.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 68, 59.22 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 63.90 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 59.94 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 61.21 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 63.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 39.47 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 32.94 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 50.11 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 59.48 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 59.71 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 59.32 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 59.07 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 58.56 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 64.52 W, P0, [N/A]
2392 MHz, 3003 MHz, 74, 63.71 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 63.31 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 63.49 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 62.65 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 57.42 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 33.09 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 34.49 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 60.05 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 59.16 W, P0, [N/A]
2392 MHz, 3003 MHz, 74, 62.36 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 60.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 60.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 61.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 62.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 60.30 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 62.00 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 58.18 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 33.18 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 33.94 W, P0, [N/A]
2392 MHz, 3003 MHz, 73, 60.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 59.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 62.51 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 60.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 60.20 W, P0, [N/A]
2398 MHz, 3003 MHz, 75, 60.03 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 67.31 W, P0, [N/A]
2392 MHz, 3003 MHz, 74, 64.32 W, P0, [N/A]
2392 MHz, 3003 MHz, 75, 64.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 73, 63.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 64.57 W, P0, [N/A]
2398 MHz, 3003 MHz, 68, 42.12 W, P0, [N/A]
2398 MHz, 3003 MHz, 68, 33.42 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 55.08 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 61.59 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 60.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 60.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 61.50 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 60.70 W, P0, [N/A]
2392 MHz, 3003 MHz, 74, 62.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 61.30 W, P0, [N/A]
2398 MHz, 3003 MHz, 73, 63.32 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 64.19 W, P0, [N/A]
2398 MHz, 3003 MHz, 68, 33.37 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 32.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 58.21 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 60.99 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 59.72 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 60.30 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 61.76 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 59.86 W, P0, [N/A]
2392 MHz, 3003 MHz, 74, 66.08 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 64.80 W, P0, [N/A]
2392 MHz, 3003 MHz, 73, 66.32 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 62.89 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 64.16 W, P0, [N/A]
2398 MHz, 3003 MHz, 68, 45.56 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 33.24 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 54.40 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 60.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 73, 59.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 75, 60.24 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 60.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 60.12 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 62.50 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 60.73 W, P0, [N/A]
2398 MHz, 3003 MHz, 73, 62.51 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 63.77 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 33.23 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 32.89 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 59.90 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 60.88 W, P0, [N/A]
2398 MHz, 3003 MHz, 68, 60.36 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 61.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 73, 59.34 W, P0, [N/A]
2398 MHz, 3003 MHz, 73, 59.14 W, P0, [N/A]
2385 MHz, 3003 MHz, 70, 65.25 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 64.10 W, P0, [N/A]
2392 MHz, 3003 MHz, 74, 65.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 63.22 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 63.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 42.27 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 33.17 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 53.99 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 60.76 W, P0, [N/A]
2398 MHz, 3003 MHz, 69, 59.55 W, P0, [N/A]
2398 MHz, 3003 MHz, 69, 60.20 W, P0, [N/A]
2398 MHz, 3003 MHz, 69, 60.61 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 61.85 W, P0, [N/A]
2392 MHz, 3003 MHz, 74, 62.30 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 61.00 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 62.24 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 63.16 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 34.17 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 32.86 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 55.25 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 61.29 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 59.75 W, P0, [N/A]
2398 MHz, 3003 MHz, 69, 60.21 W, P0, [N/A]
2398 MHz, 3003 MHz, 73, 60.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 60.57 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 64.06 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 63.92 W, P0, [N/A]
2392 MHz, 3003 MHz, 74, 63.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 64.13 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 64.28 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 49.41 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 33.21 W, P0, [N/A]
2398 MHz, 3003 MHz, 64, 21.28 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 14.10 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 14.67 W, P0, [N/A]
2411 MHz, 3003 MHz, 62, 14.98 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 13.70 W, P0, [N/A]
2411 MHz, 3003 MHz, 61, 13.56 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 13.45 W, P0, [N/A]
2411 MHz, 3003 MHz, 60, 13.40 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 13.35 W, P0, [N/A]
2411 MHz, 3003 MHz, 59, 13.27 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 13.20 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 13.18 W, P0, [N/A]
2411 MHz, 3003 MHz, 58, 13.10 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 13.07 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 13.03 W, P0, [N/A]
2411 MHz, 3003 MHz, 57, 12.97 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 12.93 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 12.91 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 12.88 W, P0, [N/A]
2411 MHz, 3003 MHz, 56, 12.84 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.80 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.77 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.71 W, P0, [N/A]
2411 MHz, 3003 MHz, 55, 12.70 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.66 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.63 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.56 W, P0, [N/A]
2411 MHz, 3003 MHz, 54, 12.55 W, P0, [N/A]
