2398 MHz, 3003 MHz, 47, 11.47 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 58.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 62.33 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 61.12 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 60.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 62.04 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 43.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 66, 32.51 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 48.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 68, 59.37 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 58.92 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 60.68 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 58.77 W, P0, [N/A]
2392 MHz, 3003 MHz, 74, 58.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 64.54 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 63.06 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 62.35 W, P0, [N/A]
2398 MHz, 3003 MHz, 73, 63.60 W, P0, [N/A]
2398 MHz, 3003 MHz, 73, 62.70 W, P0, [N/A]
2392 MHz, 3003 MHz, 67, 54.42 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 32.83 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 41.18 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 59.42 W, P0, [N/A]
2392 MHz, 3003 MHz, 68, 60.04 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 59.57 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 60.44 W, P0, [N/A]
2392 MHz, 3003 MHz, 73, 60.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 63.31 W, P0, [N/A]
2392 MHz, 3003 MHz, 74, 60.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 73, 60.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 63.26 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 48.51 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 32.92 W, P0, [N/A]
2398 MHz, 3003 MHz, 68, 49.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 69, 59.91 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 59.34 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 61.19 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 59.46 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 59.35 W, P0, [N/A]
2392 MHz, 3003 MHz, 74, 64.78 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 63.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 62.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 64.18 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 64.02 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 54.59 W, P0, [N/A]
2398 MHz, 3003 MHz, 68, 33.06 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 33.27 W, P0, [N/A]
2398 MHz, 3003 MHz, 73, 59.96 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 59.72 W, P0, [N/A]
2392 MHz, 3003 MHz, 74, 62.87 W, P0, [N/A]
2392 MHz, 3003 MHz, 73, 60.71 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 60.95 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 61.35 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 62.99 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 60.67 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 62.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 56.22 W, P0, [N/A]
2398 MHz, 3003 MHz, 68, 33.12 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 38.70 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 60.40 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 61.62 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 60.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 60.44 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 61.32 W, P0, [N/A]
2392 MHz, 3003 MHz, 75, 62.14 W, P0, [N/A]
2392 MHz, 3003 MHz, 73, 63.98 W, P0, [N/A]
2398 MHz, 3003 MHz, 76, 63.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 66.14 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 64.11 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 65.04 W, P0, [N/A]
2398 MHz, 3003 MHz, 69, 33.48 W, P0, [N/A]
2398 MHz, 3003 MHz, 69, 32.51 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 61.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 60.16 W, P0, [N/A]
2392 MHz, 3003 MHz, 75, 60.63 W, P0, [N/A]
2398 MHz, 3003 MHz, 75, 63.53 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 60.65 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 61.25 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 64.81 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 63.44 W, P0, [N/A]
2398 MHz, 3003 MHz, 75, 60.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 60.62 W, P0, [N/A]
2398 MHz, 3003 MHz, 68, 33.15 W, P0, [N/A]
2398 MHz, 3003 MHz, 68, 37.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 72, 60.39 W, P0, [N/A]
2398 MHz, 3003 MHz, 73, 59.63 W, P0, [N/A]
2392 MHz, 3003 MHz, 75, 62.03 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 59.94 W, P0, [N/A]
2392 MHz, 3003 MHz, 75, 59.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 61.60 W, P0, [N/A]
2392 MHz, 3003 MHz, 73, 65.25 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 64.65 W, P0, [N/A]
2392 MHz, 3003 MHz, 73, 65.43 W, P0, [N/A]
2398 MHz, 3003 MHz, 73, 63.85 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 63.95 W, P0, [N/A]
2398 MHz, 3003 MHz, 68, 36.45 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 31.87 W, P0, [N/A]
2398 MHz, 3003 MHz, 73, 59.91 W, P0, [N/A]
2398 MHz, 3003 MHz, 73, 59.59 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 60.38 W, P0, [N/A]
2392 MHz, 3003 MHz, 76, 62.60 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 60.02 W, P0, [N/A]
2398 MHz, 3003 MHz, 73, 59.97 W, P0, [N/A]
2398 MHz, 3003 MHz, 70, 65.14 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 60.69 W, P0, [N/A]
2392 MHz, 3003 MHz, 71, 60.21 W, P0, [N/A]
2392 MHz, 3003 MHz, 72, 62.78 W, P0, [N/A]
2398 MHz, 3003 MHz, 68, 32.97 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 32.12 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 59.59 W, P0, [N/A]
2392 MHz, 3003 MHz, 74, 60.94 W, P0, [N/A]
2392 MHz, 3003 MHz, 70, 60.05 W, P0, [N/A]
2392 MHz, 3003 MHz, 74, 60.32 W, P0, [N/A]
2392 MHz, 3003 MHz, 69, 61.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 74, 59.90 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 64.77 W, P0, [N/A]
2392 MHz, 3003 MHz, 74, 63.79 W, P0, [N/A]
2392 MHz, 3003 MHz, 73, 62.97 W, P0, [N/A]
2398 MHz, 3003 MHz, 75, 63.99 W, P0, [N/A]
2398 MHz, 3003 MHz, 71, 64.64 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 47.01 W, P0, [N/A]
2398 MHz, 3003 MHz, 67, 32.86 W, P0, [N/A]
2398 MHz, 3003 MHz, 65, 25.24 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 14.07 W, P0, [N/A]
2398 MHz, 3003 MHz, 63, 14.41 W, P0, [N/A]
2398 MHz, 3003 MHz, 62, 15.01 W, P0, [N/A]
